"link","enlace"
"An error has occurred. Please, try again later","Ha ocurrido un error. Inténtalo de nuevo más tarde"
"Action.FlightSheetRemoved","Hoja de Vuelo eliminada exitosamente"
"Action.FlightSheetCreated","Hoja de vuelo creada correctamente"
"Command sent","Comando enviado"
"Action.TransferFarm","Se ha enviado una solicitud de cambio de propietario"
"Settings updated","Configuraciones actualizadas"
"Tag added","Etiqueta agregada"
"Tag edited","Etiqueta editada"
"Tag removed","Etiqueta eliminada"
"Wallet added","Cartera agregada"
"Wallet edited","Cartera editada"
"Wallet removed","Cartera eliminada"
"Collaborator added","Usuario de confianza agregado"
"Collaborator removed","Usuario de confianza eliminado"
"Collaborator edited","Usuario de confianza editado"
"Action.LeftFarm","Has salido de la granja"
"Action.UpdateFs","Hoja de vuelo correctamente actualizado. Los mineros sin conexión necesitarán reiniciarse para ver los cambios"
"Action.AddOC","Perfil de overclocking creado con éxito"
"Action.RefillFarm","Saldo de la granja referidos"
"Action.ErrorServerRequest","Ha ocurrido un error. Inténtalo de nuevo más tarde"
"Error","Error"
"Action.SendPromocode","Se suscribiГі con Г©xito"
"Action.PatchToken","Token actualizado con Г©xito"
"Action.AddToken","Token creado con Г©xito"
"Action.DeleteToken","Token revocado con Г©xito"
"Promocode successfully sended","Promocodigo enviado correctamente"
"Action.UpdatePayoutAddresses","DirecciГіn modificada correctamente"
"Action.PayoutToAccount","El saldo de su cuenta se actualizo con éxito"
"Action.SetPassword","Contraseña actualizada con éxito"
"2FA enabled","2FA habilitado"
"2FA removed","2FA eliminado"
"",""
"NVIDIA","NVIDIA"
"Apply","Aplicar"
"Confirm","Confirmar"
"TelegramSubscribe","Ingrese el alias de telegrama para suscribirse"
"Enter code to confirm","Ingrese el código para confirmar"
"Subscribe","Suscribir"
"Remove","Eliminar"
"Are you shure?","¿Estás seguro?"
"Edit","Editar"
"temp","Temperatura"
"Farms","Granjas"
"workers","Mineros"
"ethash","ethash"
"CriticalIssues",""
"Off","Apagado"
"30 seconds","30 segundos"
"1 minute","1 minuto"
"2 minutes","2 minutos"
"5 minutes","5 minutos"
"AutoRefresh","Temporizador automático de página"
"All","Todo"
"Cancel","Cancelar"
"Download VBIOS","Descargar VBIOS"
"GPU index","Índice de GPU"
"NotGPUDifferent","Nota: el índice de GPU puede ser muy diferente de la orden de minero a la orden de bus PCI"
"Download","Descargar"
"Apply Changes","Aplicar cambios"
"WalletWorkTemplate","Plantilla de cartera y minero:"
"Pass:","Pase-:"
"Extra config arguments:","Argumentos de configuración adicionales-"
"Pool URL:","Dirección de la Piscina"
"Miner Fork:","Miner Fork:"
"Hash algorithm:","Algoritmo Hash:"
"Extra params for pool:","ParГЎmetros adicionales para la Piscina:"
"Extra arguments for miner:","Argumentos adicionales para minero-:"
"Version:","Versión"
"Template examples:","Ejemplos de plantillas:"
"for most of the pools","para la mayorГ­a de las Piscinas"
"Intensity, -dcri 0...100","Intensidad, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","Plantilla de epools.txt:"
"dpools.txt template:","Plantilla de dpools.txt:"
"Claymore config override:","Anular configuraciГіn de Claymore-:"
"Example for nanopool:","Ejemplo para nanopool:"
"Example for nicehash:","Ejemplo para nicehash:"
"Second coin algo","Segunda moneda algo"
"Config override:","AnulaciГіn de configuraciГіn:"
"Pool server:","Servidor de Piscina:"
"Port:","Puerto:"
"index","inicio"
"AMD config override:","Anulación de configuración AMD:"
"Nvidia config override:","Anulación de configuración de Nvidia:"
"CPU config override:","Anulación de configuración de CPU"
"Errors","Errores"
"last 24 hours","últimas 24 horas"
"Workers with errors","Mineros con errores"
"No errors found","No se encontraron errores"
"Show","Mostrar"
"Overclocking","Overclocking"
"Coins","Monedas"
"Pools","Piscinas"
"Miners","Mineros"
"Select pools","Seleccionar Piscinas"
"Select miners","Seleccionar Mineros"
"Select coin","Seleccionar Monedas"
"Select overclocking","Seleccionar overclocking"
"by","por"
"View payload","Ver carga útil"
"Add Wallet","Agregar cartera"
"Red Temperature","Temperatura máxima"
"Trust user","Usuario de confianza"
"Add Worker","Agregar minero"
"FarmNavCleanWorkers","Eliminar todos los mensajes de los mineros"
"Save","Guardar"
"FarmTempHeader.ASICCriticalTemperature","Temperatura crГ­tica ASIC"
"Ask a question","Haga una pregunta"
"Report an issue","Informar un problema"
"Tags","Etiquetas"
"Wallets","Monederos"
"Platform","Plataforma"
"Run","Iniciar"
"Wallet","Monedero"
"Coin","Moneda"
"Pool","Piscina"
"Miner","Minero"
"Select pool","Seleccionar piscina"
"Select miner","Seleccionar minero"
"Select wallet","Seleccionar cartera"
"Configure Pool","Configurar piscina"
"Setup Miner Config","Preparar configuracion de minero"
"Dual Coin","Doble Moneda"
"Dual Wallet","Doble Monedero"
"Dual Pool","Doble piscina"
"",""
"Configure in miner","Configurar en minero"
"Update","Actualización"
"Add New Flight Sheet","Agregar nueva hoja de vuelo"
"Reset","Restablecer"
"Create Flight Sheet","Crear hoja de vuelo"
"Add Miner","Agregar minero"
"Email","Correo electrónico"
"worker","Minero"
"selected","Seleccionado"
"FlightSheetsRocket.Message","¿Desea aplicar la Hoja de vuelo actual?"
"Choose Flight Sheet for","Elegir hoja de vuelo para"
"Your Company","Su empresa"
"Home","Casa"
"Admin","Administrador"
"Privacy","Privacidad"
"Not Found","No encontrado"
"off","Apagado"
"No","No"
"min","min"
"Remote","Remoto"
"Consumption","Consumo"
"AES","AES"
"Cores","Núcleos"
"Motherboard","Placa madre"
"Free space","Espacio libre"
"Free RAM","RAM libre"
"OS version","version OS"
"Drivers","Drivers"
"Yes","Si"
"System type","Tipo de sistema"
"Kernel","Kernel"
"Local IP","IP Local"
"Load Average","Promedio de carga"
"rigs","rigs-"
"Jump to farms, workers...","Salta a las granjas, a los mineros..."
"Notifications","Notificaciones"
"unread","no leído"
"Show all","Mostrar todo"
"No notifications yet","No hay notificaciones todavía"
"View geo location","Ver ubicación geográfica"
"from","desde"
"Accept","Aceptar"
"Decline","Declinar"
"Term expires in","El plazo expira en"
"Enter value","Introducir valor"
"Generate","Generar"
"Enter start date","Ingresar fecha de inicio"
"Start date","Fecha de inicio"
"End date","Fecha de finalizaciГіn"
"Enter end date","Ingresar fecha de finalizaciГіn"
"Name","Nombre"
"Create","Crear"
"Russian","Ruso"
"Chinese","Chino"
"English","Inglés"
"NoActiveFound","No se han encontrado actividades hasta ahora"
"all activities","todas las actividades"
"Latest Activity","Actividad más reciente"
"Load","Cargar"
"warning","dstm 0.6.0 habГ­a cambiado la sintaxis de configuraciГіn"
"Previous","Anterior"
"Next","Siguiente"
"configuration","configuración"
"MiningInfo","Ejecutar hoja de vuelo"
"Account","Cuenta"
"Sign Out","Cerrar sesiГіn"
"Billing","Facturación"
"Support","Soporte"
"Community","Comunidad"
"Forum","Foro"
"Referrals","Referencias"
"NoRightsMessage","Lo siento, no tienes suficientes permisos para ver esta página"
"to","hasta"
"Login","Iniciar sesión"
"access","acceso"
"Notification.EventChanged","Notificación de evento cambiado"
"Notification.AccessChanged","Acceso cambiado par"
"Notification.WhitelistChanged","Lista blanca cambiada"
"Account.NotificationDescription6","Puedes agregar este bot a un grupo de chat para que varios administradores puedan monitorear a los mineros. Crea tu grupo y agrega 'hiveosbot' como miembro allí. El código de chat es negativo para grupos, algo así como '-12345 '."
"Account.NotificationDescription1","Inicie un nuevo chat con este bot."
"Account.NotificationDescription2","El bot responderá y verás tu CÓDIGO que deberías en el campo correcto. Algo así como '12345'"
"Account.NotificationDescription3","Su inicio de sesiГіn es"
"Account.NotificationDescription4","Enviar un comando al bot"
"Account.NotificationDescription5","y se suscribirá a su cuenta para recibir notificaciones."
"Update Settings","Configuración de actualización"
"Fan","Ventilador"
"Core Clock","Reloj principal"
"Memory Clock","Reloj de memoria"
"Power Limit","Límite de potencia"
"(0 for auto)","(0 para auto)"
"(0 for stock value)","(0 para el valor de stock)"
"NvidiaCardFrom.SpecifyDevice","Especifique qué dispositivo debe alimentar nuestra solución principal, --revA"
