"link","lien"
"An error has occurred. Please, try again later","Une erreur a été rencontrée, veuillez réessayer plus tard"
"Action.FlightSheetRemoved","Feuille de route supprimée avec succès"
"Action.FlightSheetCreated","Feuille de route créée avec succès"
"Command sent","Commande envoyée"
"Action.TransferFarm","Demande de changement de propriétaire envoyée"
"Settings updated","Mise à jour des paramètres effectuée"
"Tag added","Tag ajouté"
"Tag edited","Tag édité"
"Tag removed","Tag supprimé"
"Wallet added","Portefeuille ajouté"
"Wallet edited","Portefeuille modifié"
"Wallet removed","Portefeuille supprimé"
"Collaborator added","Collaborateur ajouté"
"Collaborator removed","Collaborateur supprimé"
"Collaborator edited","Collaborateur modifié"
"Action.LeftFarm","Vous avez quité la ferme"
"Action.UpdateFs","La feuille de route à été mise à jour avec succès. Les RIGs hors-ligne doivent redémarrer pour voir les changements"
"Action.AddOC","Profil d'Overclocking créé avec succès"
"Action.RefillFarm","Le solde de la ferme a été rechargé"
"Action.ErrorServerRequest","Une erreur est survenue. Veuillez réessayer plus tard"
"Error","Erreur"
"Action.SendPromocode","Vous êtes inscrit avec succès"
"Action.PatchToken","Token mis à jour avec succès"
"Action.AddToken","Token créé avec succès"
"Action.DeleteToken","Token supprimé avec succès"
"Promocode successfully sended","Code Promo envoyé avec succès"
"Action.UpdatePayoutAddresses","Votre adresse a bien été modifié"
"Action.PayoutToAccount","Le solde de votre compte a bien été rechargé"
"Action.SetPassword","Mot de passe modifié avec succès"
"2FA enabled","2FA activé"
"2FA removed","2FA désactivé"
"NVIDIA","NVIDIA"
"Apply","Appliquer"
"Confirm","Confirmer"
"TelegramSubscribe","Entrer votre identifiant telegram pour vous abonner"
"Enter code to confirm","Entrer le code pour confirmer"
"Subscribe","S'abonner"
"Remove","Supprimer"
"Are you shure?","Êtes-vous sûr?"
"Edit","Modifier"
"temp","Temp"
"Farms","Fermes"
"workers","RIGs"
"ethash","ethash"
"Off","Hors ligne"
"30 seconds","30 secondes"
"1 minute","1 minute"
"2 minutes","2 minutes"
"5 minutes","5 minutes"
"AutoRefresh","Actualisation automatique du minuteur de page"
"All","Tout"
"Cancel","Annuler"
"Download VBIOS","Télécharger VBIOS"
"GPU index","Index GPU"
"NotGPUDifferent","Remarque: L'index GPU peut être très différent de l'ordre du mineur par rapport à l'ordre du bus PCI."
"Download","Télécharger"
"Apply Changes","Appliquer les changements"
"WalletWorkTemplate","Modèle de Portefeuille et RIG:"
"Pass:","Mot de Passe:"
"Extra config arguments:","Arguments de configuration supplémentaires:"
"Pool URL:","Pool URL:"
"Miner Fork:","Fork du Mineur:"
"Hash algorithm:","Hash algorithme:"
"Extra params for pool:","Paramètres supplémentaires pour le Pool:"
"Extra arguments for miner:","Paramètres supplémentaires pour le mineur:"
"Version:","Version:"
"Template examples:","Exemples de modèle:"
"for most of the pools","pour la majorité des Pools"
"Intensity, -dcri 0...100","Intensité, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","modèle epools.txt:"
"dpools.txt template:","modèle dpools.txt:"
"Claymore config override:","Modification de la configuration de Claymore:"
"Example for nanopool:","Exemple pour nanopool:"
"Example for nicehash:","Exemple pour nicehash:"
"Second coin algo","Algorithme de la monnaie secondaire"
"Config override:","Modification de la configuration:"
"Pool server:","Serveur de Pool:"
"Port:","Port:"
"index","index"
"AMD config override:","Modification de la configuration AMD:"
"Nvidia config override:","Modification de la configuration Nvidia:"
"CPU config override:","Modification de la configuration CPU:"
"Errors","Erreurs"
"last 24 hours","Dernières 24 heures"
"Workers with errors","RIGs avec erreurs"
"No errors found","Aucunes erreurs trouvées"
"Show","Afficher"
"Overclocking","Overclocking"
"Coins","Monnaies"
"Pools","Pools"
"Miners","Mineurs"
"Select pools","Selectionner pools"
"Select miners","Selectionner mineurs"
"Select coin","Selectionner monnaie"
"Select overclocking","Selectionner l'overclocking"
"by","par"
"View payload","Afficher la config"
"Add Wallet","Ajouter un portefeuille"
"Red Temperature","Température maximum"
"Trust user","Utilisateur de confiance"
"Add Worker","Ajouter un RIG"
"FarmNavCleanWorkers","Supprimer tous les messages des RIGs"
"Save","Sauvegarder"
"FarmTempHeader.ASICCriticalTemperature","Température critique d'ASIC"
