"link","link"
"An error has occurred. Please, try again later","um erro ocorreu , por favor tente mais tarde."
"Action.FlightSheetRemoved","Plano de mineração removido"
"Action.FlightSheetCreated","Plano de mineração criado"
"Command sent","Comando enviado"
"Action.TransferFarm","Tranferir Farm"
"Settings updated","Configurações actualizadas"
"Tag added","Tag Adicionada"
"Tag edited","Tag Editada"
"Tag removed","Tag Removida"
"Wallet added","Adicionar Carteira"
"Wallet edited","Editar Carteira"
"Wallet removed","Remover Carteira"
"Collaborator added","Adicionar Colaborador"
"Collaborator removed","Remover Colaborador"
"Collaborator edited","Editar Colaborador"
"Action.LeftFarm","Sair da Fazenda"
"Action.UpdateFs","Atualizar Plano"
"Action.AddOC","Adicionar OC"
"Action.RefillFarm","Recarga de Farm"
"Action.ErrorServerRequest","Erro na solicitação do servidor"
"Error","Erro"
"Action.SendPromocode","Enviar código promocional"
"Action.PatchToken","Corrigir Token"
"Action.AddToken","Adicionar Token"
"Action.DeleteToken","Apagar Token"
"Promocode successfully sended","Código promocional enviado com sucesso"
"Action.UpdatePayoutAddresses","Atualizar endereço de pagamento"
"Action.PayoutToAccount","Pagar para conta"
"Action.SetPassword","Informar senha"
"2FA enabled","2FA Activada"
"2FA removed","2FA Desativada"
"NVIDIA","NVIDIA"
"Apply","Aplicar "
"Confirm","Confirmar"
"TelegramSubscribe","Inscrever-se no Telegram"
"Enter code to confirm","Intruduzir código  para confirmar"
"Subscribe","Subscrever "
"Remove","Remover"
"Are you shure?","Você tem certeza?"
"Edit","Editar"
"temp","Temperatura"
"Farms","Farms"
"workers","Mineradoras"
"ethash","ethash"
"CriticalIssues",""
"Off","Desligar"
"30 seconds","30 Segundos"
"1 minute","1 Minuto"
"2 minutes","2 Minutos"
"5 minutes","5 Minutos"
"AutoRefresh","Carregamento automático"
"All","Todos"
"Cancel","Cancelar"
"Download VBIOS","Download VBIOS"
"GPU index","Número da GPU"
"NotGPUDifferent","Não sao GPU diferentes"
"Download","Descarregar"
"Apply Changes","Aplicar Modificações"
"WalletWorkTemplate","Padrão de funcionamento da carteira"
"Pass:","Senha:"
"Extra config arguments:","Argumentos extras de configuração:"
"Pool URL:","URL da Poll:"
"Miner Fork:","Variação do Mineiro:"
"Hash algorithm:","Algoritimo de Hash:"
"Extra params for pool:","Parametros Extra para Pool:"
"Extra arguments for miner:","Argumentos extras do minerador:"
"Version:","Versão:"
"Template examples:","Exemplos de Templates:"
"for most of the pools","para a maioria das pools"
"Intensity, -dcri 0...100","Intensidade, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","modelo epool.txt:"
"dpools.txt template:","modelo dpool.txt:"
"Claymore config override:","Substituição de configuração do Claymore:"
"Example for nanopool:","Exemplo de Nanopool:"
"Example for nicehash:","Exemplo de NiceHash:"
"Second coin algo","Algoritimo da segunda moeda"
"Config override:","Substituição de configuração:"
"Pool server:","Servidor da Pool"
"Port:","Porta:"
"index","Indiçe"
"AMD config override:","Substituição da configuração AMD:"
"Nvidia config override:","Substituição da configuração Nvidia:"
"CPU config override:","Substituição da configuração CPU:"
"Errors","Erros"
"last 24 hours","últimas 24 horas"
"Workers with errors","Mineradora com erros"
"No errors found","Nenhum erro encontrado"
"Show","Exibir"
"Overclocking","Overclocking"
"Coins","Moedas"
"Pools","Pools"
"Miners","Mineradores"
"Select pools","Selecione a pool"
"Select miners","Selecione o minerador"
"Select coin","Selecione a moeda"
"Select overclocking","Selecione o overclock"
"by","por"
"View payload","Ver pagamento"
"Add Wallet","Adicionar Carteira"
"Red Temperature","Modelo vermelho"
"Trust user","Usuário confiável"
"Add Worker","Adicionar Mineradora"
"FarmNavCleanWorkers","FarmNavClamWorkers"
"Save","Salvar"
"FarmTempHeader.ASICCriticalTemperature","FarmTempHeader.ASICCriticalTemperature"
"Ask a question","Fazer uma pergunta"
"Report an issue","Comunicar um problema"
"Tags","Tags"
"Wallets","Carteiras"
"Platform","Plataforma"
"Run","Executar"
