"link","ссылка"
"An error has occurred. Please, try again later","Произошла ошибка. Попробуйте позже"
"Flight Sheet successfully removed","Полетное задание успешно удалено"
"Flight Sheet successfully created","Полетное задание успешно создано"
"Command sent","Команда отправлена"
"Request for owner change has been sent","Запрос на изменение владельца был отправлен"
"Settings updated","Настройки обновлены"
"Tag added","Тэг добавлен"
"Tag edited","Тэг отредактирован"
"Tag removed","Тэг удален"
"Wallet added","Кошелек добавлен"
"Wallet edited","Кошелек отредактирован"
"Wallet removed","Кошелек удален"
"Collaborator added","Доверенный пользователь добавлен"
"Collaborator removed","Доверенный пользователь удален"
"Collaborator edited","Доверенный пользователь отредактирован"
"Action.LeftFarm","Вы покинули ферму"
"Action.UpdateFs","Полетное задание успешно обновлено. Для воркеров которые сейчас 'не в сети', для вступления изменений в силу необходима перезагрузка"
"Action.AddOC","Профиль разгона успешно создан"
"Action.RefillFarm","Баланс фермы пополнен"
"Action.ErrorServerRequest","Произошла ошибка. Пожалуйста, попробуйте позже"
"Error","Ошибка"
"You successfully subscribed","Ваша подписка оформлена успешно"
"Token successfully updated","Токен успешно обновлен"
"Token successfully created","Токен успешно создан"
"Token successfully revoked","Токен успешно аннулирован"
"Promocode successfully sended","Промокод успешно отправлен"
"Address successfully changed","Адрес успешно изменен"
"Action.PayoutToAccount","Ваш баланс успешно пополнен"
"Password successfully updated","Пароль успешно обновлен"
"2FA enabled","2FA разрешен"
"2FA removed","2FA удален"
"NVIDIA","NVIDIA"
"Apply","Применить"
"Confirm","Подтвердить"
"Enter telegram id to subscribe","Введите ID Telegram чтобы подписаться"
"Enter code to confirm","Введите код для подтверждения"
"Subscribe","Подписаться"
"Remove","Удалить"
"Are you sure?","Вы уверены?"
"Edit","Редактировать"
"temp","темп-ра"
"Farms","Фермы"
"workers","воркеры"
"ethash","ethash"
"Off","Выкл"
"30 seconds","30 секунд"
"1 minute","1 минута"
"2 minutes","2 минуты"
"5 minutes","5 минут"
"Auto Refresh Page Timer","Таймер авто-обновления страницы"
"All","Все"
"Cancel","Отмена"
"Download VBIOS","Скачать VBIOS"
"GPU index","GPU индекс"
"Note: GPU index may be very different from miner order to PCI bus order.","Примечание: GPU индекс в майнере может отличаться от порядка расположения на PCI шине."
"Download","Скачать"
"Apply Changes","Применить изменения"
"Wallet and worker template:","Кошелек и воркер шаблона:"
"Pass:","Пароль"
"Extra config arguments:","Дополн. параметры конфигурации:"
"Pool URL:","Адрес пула:"
"Miner Fork:","Форк майнера:"
"Hash algorithm:","Хэш алгоритм:"
"Extra params for pool:","Дополн. параметры для пула:"
"Extra arguments for miner:","Дополн. аргументы для майнера:"
"Version:","Версия:"
"Template examples:","Примеры шаблонов:"
"for most of the pools","для большинства пулов"
"Intensity, -dcri 0...100","Интенсивность, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
"dpools.txt template:","dpools.txt шаблон:"
"Claymore config override:","Claymore переопределение конфигурации:"
"Example for nanopool:","Пример для nanopool:"
"Example for nicehash:","Пример для nicehash:"
"Second coin algo","Алгоритм второй монеты"
"Config override:","Переопределение конфигурации:"
"Pool server:","Сервер пула:"
"Port:","Порт:"
"index","индекс"
"AMD config override:","AMD переопределение конфигурации"
"Nvidia config override:","NVidia переопределение конфигурации"
"CPU config override:","CPU переопределение конфигурации:"
"Errors","Ошибки"
"last 24 hours","последние 24 часа"
"Workers with errors","Воркеры с ошибками"
"No errors found","Ошибок не обнаружено"
"Show","Показать"
"Overclocking","Разгон"
"Coins","Монеты"
"Pools","Пулы"
"Miners","Майнеры"
"Select pools","Выбрать пулы"
"Select miners","Выбрать майнеры"
"Select coin","Выбрать монету"
"Select overclocking","Выбрать разгон"
"by","от"
"View payload","Показать полезную нагрузку"
"Add Wallet","Добавить кошелек"
"Max Temperature","Макс. температура"
"Trust user","Доверенный пользователь"
"Add Worker","Добавить воркера"
"Remove all workers' messages","Удалить сообщения от всех воркеров"
"Save","Сохранить"
"ASIC Critical Temperature","ASIC критическая температура"
"Ask a question","Задать вопрос"
"Report an issue","Сообщить о проблеме"
"Tags","Тэги"
"Wallets","Кошельки"
"Platform","Платформа"
"Run","Пуск"
"Wallet","Кошелек"
"Coin","Монета"
"Pool","Пул"
"Miner","Майнер"
"Select pool","Выбрать пул"
"Select miner","Выбрать майнер"
"Select wallet","Выбрать кошелек"
"Configure Pool","Настроить пул"
"Setup Miner Config","Настройка конфига майнера"
"Dual Coin","Дуал монета"
"Dual Wallet","Дуал кошелек"
"Dual Pool","Пул для дуала"
"Decred/Siacoin/Lbry/Pascal intensity. Default value is 30. For PASC reasonable value is around 10, for SIA it's around 15. Higher values will cause dropdown on ETH mining.","Decred/Siacoin/Lbry/Pascal интенсивность. Значение по-умолчанию - 30. Для PASC рекомендуется - 10, для SIA 15. Более высокие значения негативно скажутся на майнинге Ethash монеты"
"Configure in miner","Настроить майнер"
"Update","Обновить"
"Add New Flight Sheet","Добавить новое полетное задание"
"Reset","Сбросить"
"Create Flight Sheet","Создать полетное задание"
"Add Miner","Добавить майнер"
"Email","Email"
"worker","воркер"
"selected","выбран(ы)"
"Are you want to apply current Flight Sheet for","Вы хотите применить текущее полетное задание для"
"Choose Flight Sheet for","Выбрать полетное задание для"
"Your Company","Ваша компания"
"Home","Домашняя страница"
"Admin","Админ"
"Privacy","Конфиденциальность"
"Not Found","Не найдено"
"off","выкл"
"No","Нет"
"min","мин."
"Remote","Внешний"
"Consumption","Потребление"
"AES","AES"
"Cores","Ядра"
"Motherboard","Материнская плата"
"Free space","Свободное пространство"
"Free RAM","Свободное ОЗУ"
"OS version","ОС версия"
"Drivers","Драйвера"
"Yes","Да"
"System type","Тип системы"
"Kernel","Ядро"
"Local IP","Локальный IP"
"Load Average","Средняя загрузка"
"rigs","риги"
"Jump to farms, workers...","Переход к фермам, воркерам..."
"Notifications","Уведомления"
"unread","непрочитанное"
"Show all","Показать всё"
"No notifications yet","Пока нет уведомлений"
"View geo location","Посмотреть геолокацию"
"from","из"
"Accept","Принять"
"Decline","Отменить"
"Term expires in","Срок истекает в"
"Enter value","Введите значение"
"Generate","Сгенерировать"
"Enter start date","Введите начальную дату"
"Start date","Начальная дата"
"End date","Дата окончания"
"Enter end date","Введите дату окончания"
"Name","Имя"
"Create","Создать"
"Russian","Русский"
"Chinese","Китайский"
"English","Английский"
"No activities found so far","Пока не было никаких действий"
"all activities","все действия"
"Latest Activity","Последние действия"
"Load","Загрузить"
"warning","в dstm 0.6.0 изменился синтаксис конфигурационного файла"
"Previous","Предыдущий"
"Next","Следующий"
"configuration","конфигурация"
"Running Flight Sheet","Запуск полетного задания"
"Account","Аккаунт"
"Sign Out","Выйти с аккаунта"
"Billing","Биллинг"
"Support","Поддержка"
"Community","Сообщество"
"Forum","Форум"
"Referrals","Рефералы"
"Sorry, you do not have sufficient rights to view this page","Извините, у вас не достаточно прав для просмотра этой страницы."
"to","в"
"Login","Логин"
"access","доступ"
"Notification Event changed","Нотификация изменена"
"Access changed for","Доступ изменен для"
"Whitelist changed","Белый список изменен"
"Account.NotificationDescription6","Вы можете добавить этого бота в группу чата, чтобы несколько администраторов могли следить за воркерами. Создайте свою группу и добавьте 'hiveosbot' как участника. Код чата для групп - отрицательный, что-то вроде '-12345'."
"Account.NotificationDescription1","Начать чат с этим ботом."
"Account.NotificationDescription2","Бот ответит вам, и вы увидите свой КОД, который вы должны ввести в поле справа. Что-то вроде '12345'."
"Account.NotificationDescription3","Ваш логин"
"Account.NotificationDescription4","Отправить команду боту"
"Account.NotificationDescription5","и он оформит подписку для вашей учетной записи для получения уведомлений."
"Update Settings","Обновить настройки"
"Fan","Вент."
"Core Clock","Частота ядра"
"Memory Clock","Частота памяти"
"Power Limit","Предел потребления"
"(0 for auto)","(0 авто)"
"(0 for stock value)","(0 для стокового значения)"
"Specify which device should be fed our senior solution, --revA","Укажите, к каким устройствам должен быть применен особый подход (например первые ревизии GTX 1080), --revA"
"Usually this value is double from what you see in AfterBurner. E.g. if in Windows it's +800Mhz, here you should write 1600.","Обычно это значение вдвое больше того, что вы видите в AfterBurner. Например, если в Windows это +800Mhz, здесь вы должны написать 1600."
"Turn Off LEDs (may not work on some cards)","Выключить подсветку (может не работать на некоторых картах)"
"OhGodAnETHlargementPill","OhGodAnETHlargementPill ('таблетка')"
"You can specify one value for all cards or list of values for each card separated by space.","Вы можете указать одно значение для всех карт или список значений для каждой карты, разделенных пробелом."
"one value for all GPUs.","одно значение для всех GPU."
"means GPU0 = none, GPU1 = 100, etc.","означает GPU0 = ничего, GPU1 = 100, и так далее."
"Configure","Настроить"
"Overclocking Settings","Параметры разгона"
"Choose Overclocking Profiles for","Выбрать профили разгона для"
"Are you want to apply current Overclocking Profile for","Вы хотите применить текущий профиль разгона для"
"Invalid Shares","Невалидные шары"
"Show all payments","Показать все платежи"
"No payments yet","Не было платежей"
"Pool address","Адрес пула"
"Select pool address","Указать адрес пула"
"Add New Pool","Добавить новый пул"
"Enter email","Введите email"
"Select Pool Server","Выберите сервер пула"
"Selected Pool Servers","Выбраные сервера пулов"
"on","вкл"
"rights","права"
"Workers","Воркеры"
"Balance","Баланс"
"Shared with me","Поделился со мной"
"Timezone","Часовой пояс"
"Create New Farm","Создать новую ферму"
"Select timezone","Выбрать часовой пояс"
"Input farm name","Введите имя фермы"
"Mem State","Состояние памяти"
"Core Voltage","Напряжение ядра"
"Core State","Состояние ядра"
"in claymore config override.","в Сlaymore переопределение конфигурации."
"You can set fan speed but the miner (claymore) will control it anyways. You should disable fan control in miner config for this to work. Put","Вы можете установить скорость вращения вентилятора, но майнер (claymore) будет контролировать это в любом случае. Вы должны отключить управление вентилятором в конфигурации майнера, чтобы это работало. Прописать"
"You should use this parameter with 'Mem Clock' setting.","Вы должны использовать этот параметр совместно с настройкой 'Частота памяти'"
"RX cards known to have 1 or 2 memory states (actually 3 including 0 idle state). By default the highest state will be selected. But some rare cards are known to fail to undervolt on the highest state and required to select a lower one. For example the highest is 2 and for undervolting you would want to set state 1.","RX карты, которые, как известно, имеют 1 или 2 состояния памяти (фактически 3, включая 0 - состояние простоя). По-умолчанию будет выбрано самое высокое состояние. Но некоторые редкие карты, как известно, не поддаются понижению питания в самом высоком состоянии и требуют выбора более низкого. Например, наивысшее значение равно 2, и для понижения напряжения вы хотите установить состояние 1."
"This is a very advanced parameter. Try this if there are problems with undervolting. If it works - don't touch this.","Это очень продвинутый параметр. Попробуйте это, если есть проблемы с понижением напряжения. Если все работает и так - не трогайте."
"from VBIOS table.","из таблицы VBIOS."
"meaning mV or values like","имеется ввиду мВ или подобные значения"
"You can set values like","Вы можете установить такие значения, как"
"state will be used to set the voltage.","состояние будет использоваться для установки напряжения."
"This is required if you try to undervolt you card. And you MUST set 'Core State' or default","Это необходимо, если вы попытаетесь понизить напряжение ядра видеокарты. И вы ДОЛЖНЫ установить 'Состояние ядра' или по-умолчанию"
"Lower the value to downvolt.","Уменьшите значение напряжения для снижения потребления."
"Default is","По-умолчанию"
"DPM (Dynamic Power Management)","ДУП (Динамическое управление питанием)"
"This is required if you try to undervolt you card. You should use this parameter with 'Core Clock' setting and 'Core Voltage'.","Это необходимо, если вы попытаетесь понизить питание видеокарты. Вы должны использовать этот параметр совместно с 'Частота ядра' и 'Напряжение ядра'."
"If 'Core State' is unset, then the default","Если 'Состояние ядра' не задано, то значение по-умолчанию"
"Set core clock here, a good value would be around","Установите частоту ядра здесь, хорошее значение будет около"
"state will be used to set the clock.","состояние будет использоваться для установки частоты."
"Refill","Пополнить"
"balance","баланс"
"per month","за 1 месяц"
"Recommended payment is","Рекомендуемый платеж"
"From balance","Из баланса"
"With Coinpayment","Оплатой через Coinpayments"
