"link","посилання"
"An error has occurred. Please, try again later","Виникла помилка. Спробуйте пізніше"
"Action.FlightSheetRemoved","Польотне завдання успішно видалено"
"Action.FlightSheetCreated","Польотне завдання успішно створено"
"Command sent","Команда відправлена"
"Action.TransferFarm","Запит на зміну власника був відправлений"
"Settings updated","Налаштування оновлені"
"Tag added","Тег додано"
"Tag edited","Тег відредаговано"
"Tag removed","Тег видалено"
"Wallet added","Гаманець додано"
"Wallet edited","Гаманець відредаговано"
"Wallet removed","Гаманець видалено"
"Collaborator added","Довірений користувач доданий"
"Collaborator removed","Довірений користувач видалений"
"Collaborator edited","Довірений користувач відредагований"
"Action.LeftFarm","Ви залишили ферму"
"Action.UpdateFs","Польотне завдання успішно оновлено.Для воркерів, які зараз 'не в мережі', для вступу змін в силу необхідне перезавантаження"
"Action.AddOC","Профіль розгіну успішно створено"
"Action.RefillFarm","Баланс ферми поповнено"
"Action.ErrorServerRequest","Виникла помилка. Спробуйте пізніше"
"Error","Помилка"
"Action.SendPromocode","Ваша підписка оформлена успішно"
"Action.PatchToken","Токен успішно обновлено"
"Action.AddToken","Токен успішно створено"
"Action.DeleteToken","Токен успішно анульовано"
"Promocode successfully sended","Промокод успішно відправлено"
"Action.UpdatePayoutAddresses","Адрес успішно змінено"
"Action.PayoutToAccount","Ваш баланс успішно поповнено"
"Action.SetPassword","Пароль успішно оновлено"
"2FA enabled","2FA дозволено"
"2FA removed","2FA видалено"
"",""
"NVIDIA","NVIDIA"
"Apply","Застосувати"
"Confirm","Підтвердити"
"TelegramSubscribe","Введіть ID Telegram для того, щоб підписатися"
"Enter code to confirm","Введіть код для підтвердження"
"Subscribe","Підписатися"
"Remove","Видалити"
"Are you shure?","Ви впевнені?"
"Edit","Редагувати"
"temp","темп-ра"
"Farms","Ферми"
"workers","воркери"
"ethash","ethash"
"CriticalIssues","Критична помилка"
"Off","Вимкн."
"30 seconds","30 секунд"
"1 minute","1 хвилина"
"2 minutes","2 хвилини"
"5 minutes","5 хвилин"
"AutoRefresh","Таймер авто-оновлення сторінки"
"All","Все"
"Cancel","Відміна"
"Download VBIOS","Скачати VBIOS"
"GPU index","GPU індекс"
"NotGPUDifferent","Примітка: GPU індекс в майнері може відрізнятися від порядку розташування на PCI шині"
"Download","Скачати"
"Apply Changes","Застосувати зміни"
"WalletWorkTemplate","Гаманець і воркер шаблону:"
"Pass:","Пароль"
"Extra config arguments:","Додаткові параметри конфігурації"
"Pool URL:","Адреса пула"
"Miner Fork:","Форк майнера:"
"Hash algorithm:","Хеш алгоритм:"
"Extra params for pool:","Додаткові параметри для пулу:"
"Extra arguments for miner:","Додаткові аргументи для майнера:"
"Version:","Версія:"
"Template examples:","Приклади шаблонів:"
"for most of the pools","для більшості пулів"
"Intensity, -dcri 0...100","Інтенсивність, -dcri 0...100"
"claymore","claymore"
"epools.txt template:","epools.txt шаблон:"
"dpools.txt template:","dpools.txt шаблон:"
"Claymore config override:","Claymore перевизначення конфігурації:"
"Example for nanopool:","Приклад для nanopool:"
"Example for nicehash:","Приклад для nicehash:"
"Second coin algo","Алгоритм другої монети"
"Config override:","Перевизначення конфігурації:"
"Pool server:","Сервер пулу:"
"Port:","Порт:"
"index","індекс"
"AMD config override:","AMD перевизначення конфігурації"
"Nvidia config override:","NVidia перевизначення конфігурації"
"CPU config override:","CPU перевизначення конфігурації:"
"Errors","Помилки"
"last 24 hours","останні 24 години"
"Workers with errors","Воркери з помилками"
"No errors found","Помилок не виявлено"
"Show","Показати"
"Overclocking","Розгін"
"Coins","Монети"
"Pools","Пули"
"Miners","Майнери"
"Select pools","Обрати пули"
"Select miners","Обрати майнери"
"Select coin","Обрати монету"
"Select overclocking","Обрати розгін"
"by","від"
"View payload","Показати корисне навантаження"
"Add Wallet","Додати гаманець"
"Red Temperature","Макс. температура"
"Trust user","Довірений користувач"
"Add Worker","Додати воркера"
"FarmNavCleanWorkers","Видалити повідомлення від усіх воркерів"
"Save","Зберегти"
"FarmTempHeader.ASICCriticalTemperature","ASIC критична температура"
"Ask a question","Задати питання"
"Report an issue","Повідомити про проблему"
"Tags","Теги"
"Wallets","Гаманці"
"Platform","Платформа"
"Run","Пуск"
"Wallet","Гаманець"
"Coin","Монета"
"Pool","Пул"
"Miner","Майнер"
"Select pool","Вибрати пул"
"Select miner","Вибрати майнер"
"Select wallet","Вибрати гаманець"
"Configure Pool","Налаштувати пул"
"Setup Miner Config","Налаштування конфіга майнера"
"Dual Coin","Дуал монета"
"Dual Wallet","Дуал гаманець"
"Dual Pool","Пул для дуала"
"","Decred / Siacoin / Lbry / Pascal інтенсивність. Значення за замовчуванням - 30. Для PASC рекомендується - 10, для SIA 15. Більш високі значення негативно позначаться на майнінгу Ethash монети"
"Configure in miner","Налаштувати майнер"
"Update","Оновити"
"Add New Flight Sheet","Додати нове польотне завдання"
"Reset","Скинути"
"Create Flight Sheet","Створити польотне завдання"
"Add Miner","Додати майнер"
"Email","Email"
"worker","воркер"
"selected","обрано"
"FlightSheetsRocket.Message","Ви хочете застосувати поточне польотне завдання для"
"Choose Flight Sheet for","Вибрати польотне завдання для"
"Your Company","Ваша компанія"
"Home","Домашня сторінка"
"Admin","Адмін"
"Privacy","Конфіденційність"
"Not Found","Не знайдено"
"off","вимкн."
"No","Ні"
"min","хв."
"Remote","Зовнішній"
"Consumption","Споживання"
"AES","AES"
"Cores","Ядра"
"Motherboard","Материнська плата"
"Free space","Вільний простір"
"Free RAM","Вільне ОЗП"
"OS version","ОС версія"
"Drivers","Драйвера"
"Yes","Да"
"System type","Тип системи"
"Kernel","Ядро"
