"link","連結"
"An error has occurred. Please, try again later","發生一個錯誤，請稍候再試"
"Action.FlightSheetRemoved","Flight Sheet 成功移除"
"Action.FlightSheetCreated","Flight Sheet 成功創建"
"Command sent","指令已發送"
"Action.TransferFarm","擁有人改變請求已發送"
"Settings updated","設定已更新"
"Tag added","已新增標籤"
"Tag edited","已更改標籤"
"Tag removed","已移除標籤"
"Wallet added","已新增錢包"
"Wallet edited","已更改錢包"
"Wallet removed","已移除錢包"
"Collaborator added","已新增協作者"
"Collaborator removed","已移除協作者"
"Collaborator edited","已更改協作者"
"Action.LeftFarm","你已經離開礦場"
"Action.UpdateFs","Flight Sheet成功更新，但離線礦機尚需重啟才能生效。"
"Action.AddOC","已成功新增超頻文件"
"Action.RefillFarm","已儲值礦場餘額"
"Action.ErrorServerRequest","發生一個錯誤，請稍候再試"
"Error","錯誤"
"Action.SendPromocode","你已經成功訂閱"
"Action.PatchToken","已經成功更新補丁"
"Action.AddToken","已經成功創建補丁"
"Action.DeleteToken","已經成功移除補丁"
"Promocode successfully sended","已成功發送邀請碼"
"Action.UpdatePayoutAddresses","已成功更改地址"
"Action.PayoutToAccount","已成功儲值帳戶"
"Action.SetPassword","已成功更新密碼"
"2FA enabled","已開啟2FA"
"2FA removed","已關閉2FA"
"",""
"NVIDIA","NVIDIA"
"Apply","應用"
"Confirm","確認"
"TelegramSubscribe","輸入Telegram id 以訂閱"
"Enter code to confirm","請輸入密碼進行確認"
"Subscribe","訂閱"
"Remove","移除"
"Are you shure?","你確定嗎？"
"Edit","編輯"
"temp","溫度"
"Farms","礦場"
"workers","礦機"
"ethash","ethash"
"",""
"Off","關閉"
"30 seconds","30 秒"
"1 minute","1 分鐘"
"2 minutes","2 分鐘"
"5 minutes","5 分鐘"
"AutoRefresh","自動刷新"
"All","全部"
"Cancel","取消"
"Download VBIOS","下載 VBIOS"
"GPU index","GPU 編號"
"NotGPUDifferent","注意: GPU編號可能與PCI順序不同"
"Download","下載"
"Apply Changes","應用更改"
"WalletWorkTemplate","錢包與礦機範例"
"Pass:","密碼"
"Extra config arguments:","其他設定參數"
"Pool URL:","礦池地址"
"Miner Fork:","挖礦軟體分支"
"Hash algorithm:","演算法"
"Extra params for pool:","其他礦池參數:"
"Extra arguments for miner:","其他礦機參數:"
"Version:","版本: "
"Template examples:","範例: "
"for most of the pools","對於大多數礦池"
"Intensity, -dcri 0...100","強度, -dcri 0至100"
"claymore","claymore"
"epools.txt template:","epools.txt 範本:"
"dpools.txt template:","dpools.txt 範本:"
"Claymore config override:","Claymore設定覆蓋:"
"Example for nanopool:","nanopool 範例:"
"Example for nicehash:","nicehash 範例:"
"Second coin algo","副挖演算法"
"Config override:","設定覆蓋:"
"Pool server:","礦池地址:"
"Port:","通訊埠:"
"index","編號"
"AMD config override:","AMD 設定覆蓋"
"Nvidia config override:","Nvidia 設定覆蓋"
"CPU config override:","CPU 設定覆蓋"
"Errors","錯誤"
"last 24 hours","最近24小時"
"Workers with errors","礦機錯誤"
"No errors found","未發現錯誤"
"Show","顯示"
"Overclocking","超頻"
"Coins","幣種"
"Pools","礦池"
"Miners","礦機"
"Select pools","選擇礦池"
"Select miners","選擇礦機"
"Select coin","選擇幣種"
"Select overclocking","選擇超頻"
"by","藉由"
"View payload","觀看封包內容"
"Add Wallet","新增錢包"
"Red Temperature","最高溫度"
"Trust user","授權用戶"
"Add Worker","增加礦機"
"FarmNavCleanWorkers","刪除所有礦機訊息"
"Save","保存"
"FarmTempHeader.ASICCriticalTemperature","ASIC 臨界溫度"
"Ask a question","提問"
"Report an issue","回報錯誤"
"Tags","標籤"
"Wallets","錢包"
"Platform","平台"
"Run","運行"
"Wallet","錢包"
"Coin","幣"
"Pool","礦池"
"Miner","挖礦軟體"
"Select pool","選擇礦池"
"Select miner","選擇挖礦軟體"
"Select wallet","選擇錢包"
"Configure Pool","設定礦池"
"Setup Miner Config","更改礦機設定"
"Dual Coin","副挖幣種"
"Dual Wallet","副挖錢包"
"Dual Pool","副挖礦池"
"","Decred / Siacoin / Lbry / Pascal強度，默認值為30。PASC的合理值在10左右，SIA在15左右。過高的值會降低ETH挖礦效率。"
"Configure in miner","礦機設置"
"Update","更新"
"Add New Flight Sheet","新增新的 Flight Sheet"
"Reset","重置"
"Create Flight Sheet","創建 Flight Sheet"
"Add Miner","新增礦機"
"Email","電子郵件地址"
"worker","礦機"
"selected","已選擇"
"FlightSheetsRocket.Message","你希望將現有Flight Sheet應用到"
"Choose Flight Sheet for","選擇 Flight Sheet"
"Your Company","你的公司"
"Home","主畫面"
"Admin","管理員"
"Privacy","隱私"
"Not Found","沒找到"
"off","關閉"
"No","不"
"min","分鐘"
"Remote","遠端"
"Consumption","消耗"
"AES","AES"
"Cores","核心"
"Motherboard","主機板"
"Free space","閒置空間"
"Free RAM","閒置記憶體"
"OS version","系統版本"
"Drivers","驅動"
"Yes","是"
"System type","系統類型"
"Kernel","核心"
"Local IP","本地IP"
"Load Average","平均負載"
"rigs","礦機"
"Jump to farms, workers...","跳轉至礦場、礦機"
"Notifications","通知"
"unread","未讀"
"Show all","顯示全部"
"No notifications yet","無通知"
"View geo location","查看全部地區"
"from","從"
"Accept","同意"
"Decline","拒絕"
"Term expires in","協議有效至"
"Enter value","輸入數值"
"Generate","生成"
"Enter start date","輸入開始日期"
"Start date","開始日期"
"End date","結束日期"
"Enter end date","輸入終止日期"
"Name","名稱"
"Create","創建"
"Russian","俄羅斯語"
"Chinese","中文"
"English","英文"
"NoActiveFound","未發現活動"
"all activities","所有活動"
"Latest Activity","最新活動"
"Load","讀取"
"warning","警告"
"Previous","上一個"
"Next","下一個"
"configuration","設定"
"MiningInfo","挖礦訊息"
"Account","帳戶"
"Sign Out","登出"
"Billing","帳單"
"Support","支持"
"Community","社區"
"Forum","論壇"
"Referrals","邀請碼"
"NoRightsMessage","對不起，您沒有觀看此頁面的權限"
"to","至"
"Login","登入"
"access","存取"
"Notification.EventChanged","通知事件已更改"
"Notification.AccessChanged","權限已更改"
"Notification.WhitelistChanged","白名單已更改"
"Account.NotificationDescription6","您可以將此bot添加到聊天群組中，以便多個管理員可以監視礦機。 創建群組並邀請“hiveosbot”作為成員。 聊天代碼對於群組是原生的，例如'-12345'。"
"Account.NotificationDescription1","開始新對話與bot"
"Account.NotificationDescription2","機器人會回覆你，你會看到你應該在現場的CODE。 格式類似'12345'。"
"Account.NotificationDescription3","你登入的是"
"Account.NotificationDescription4","傳送指令至bot"
"Account.NotificationDescription5","訂閱帳戶並且收到通知"
"Update Settings","更新設定"
"Fan","風扇"
"Core Clock","核心頻率"
"Memory Clock","顯存頻率"
"Power Limit","功耗限制"
"(0 for auto)","（0 為自動）"
"(0 for stock value)","（0 為預設值）"
"NvidiaCardFrom.SpecifyDevice","指定哪台設備啟用我們的進階解決方案，--revA"
"NvidiaCardFrom.MemClock","通常這個值是AftrerBuner中的2倍。例如視窗中顯示了+800Mhz，這裡就應該設定為1600"
"NvidiaCardFrom.OffLED","關閉LED（部分顯卡可能不支援）"
"OhGodAnETHlargementPill","ETH腎上腺素"
"ValueCardSeparatedSpace","你可以替所有的卡指定一個值，也可以替每張卡設定單獨的值，用空格間隔"
"one value for all GPUs.","統一所有GPU的值"
"means GPU0 = none, GPU1 = 100, etc.","指GPU0 =無，GPU1 = 100，以此類推"
"Configure","設定"
"Overclocking Settings","超頻設定"
"OverclockingProfileModal.Text","選擇超頻設定給"
"ApplyOverclockProfile","是否確定將當前超頻設定給"
"Invalid Shares","無效股份"
"Show all payments","顯示所有支付"
"No payments yet","尚未有支付紀錄"
"Pool address","礦池地址"
"Select pool address","選擇礦池地址"
"Add New Pool","新增礦池地址"
"Enter email","輸入email"
"Select Pool Server","選擇礦池伺服器"
"Selected Pool Servers","以選擇礦池服務器"
"on","開啟"
"rights","權限"
"Workers","礦機"
"Balance","餘額"
"Shared with me","與我分享的"
"Timezone","時區"
"Create New Farm","創建新的礦場"
"Select timezone","選擇時區"
"Input farm name","輸入礦場名稱"
"Mem State","內存狀態"
"Core Voltage","核心電壓"
"Core State","核心狀態"
"RadeonCardFrom.fanSpeed2","在Claymore中配置文件覆蓋"
"RadeonCardFrom.fanSpeed1","你可以設定風扇轉速，但總是受挖礦軟件如Claymore的控制。你應該先在挖礦軟件配置文件中關閉風扇控制。把"
"RadeonCardFrom.memState.text3","你應該在顯存頻率設定裡面使用這個參數"
"RadeonCardFrom.memState.text2","RX顯卡有1或2個顯存狀態(事實上3個，包括停頓狀態)。默認下將會選擇最高的狀態。但是少數卡會在最高模式下因電壓不足而出錯，所以要選擇一個較低的模式。例如，最高值是2，但對於電壓不足的顯卡你應該設為1。"
